Date,Day,Treatment,Header,TankID,Temperature,pH,Temp,pHspec,Sal,Diam1,Diam2,DiamMean,Growth,Height,pCO2out,AlkTotal,PartOfSpine,Chosen,RatioSEM,SpineLength,RatioLength,SpineCount
2018-10-05,-16,T,1,NA,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,AMB,2,NA,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,OA,3,NA,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,T/OA,4,NA,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,OA,5,NA,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,T/OA,6,NA,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,T,7,NA,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,AMB,8,NA,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,AMB,2,1t,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,T/OA,4,2t,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,T,1,3t,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,OA,3,4t,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,AMB,2,5t,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,OA,3,6t,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,T/OA,4,7t,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,T,1,8t,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,AMB,2,9t,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,T,1,10t,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,T/OA,4,11t,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,OA,3,12t,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,AMB,8,13t,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,T/OA,6,14t,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,AMB,8,15t,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,OA,5,16t,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,T,7,17t,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,T,7,18t,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,T/OA,6,19t,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,AMB,8,20t,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,OA,5,21t,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,T,7,22t,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,T/OA,6,23t,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,-16,OA,5,24t,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,T,1,NA,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,AMB,2,NA,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,OA,3,NA,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,T/OA,4,NA,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,OA,5,NA,ambient,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,T/OA,6,NA,heated,acidified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,T,7,NA,heated,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,AMB,8,NA,ambient,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,AMB,2,1t,ambient,ambient,NA,NA,NA,11.05,10.53,10.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,T/OA,4,2t,heated,acidified,NA,NA,NA,8.18,8.94,8.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,T,1,3t,heated,ambient,NA,NA,NA,10.31,9.78,10.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,OA,3,4t,ambient,acidified,NA,NA,NA,9.88,9.88,9.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,AMB,2,5t,ambient,ambient,NA,NA,NA,11.88,11.53,11.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,OA,3,6t,ambient,acidified,NA,NA,NA,10.58,11.25,10.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,T/OA,4,7t,heated,acidified,NA,NA,NA,11.25,11.25,11.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,T,1,8t,heated,ambient,NA,NA,NA,11.72,11.72,11.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,AMB,2,9t,ambient,ambient,NA,NA,NA,10.46,10.46,10.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,T,1,10t,heated,ambient,NA,NA,NA,11.65,11.65,11.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,T/OA,4,11t,heated,acidified,NA,NA,NA,9.41,9.41,9.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,OA,3,12t,ambient,acidified,NA,NA,NA,10.21,10.21,10.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,AMB,8,13t,ambient,ambient,NA,NA,NA,11.17,11.17,11.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,T/OA,6,14t,heated,acidified,NA,NA,NA,10.62,10.62,10.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,AMB,8,15t,ambient,ambient,NA,NA,NA,10.44,10.85,10.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,OA,5,16t,ambient,acidified,NA,NA,NA,8.13,8.47,8.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,T,7,17t,heated,ambient,NA,NA,NA,10.89,10.89,10.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,T,7,18t,heated,ambient,NA,NA,NA,9.16,9.05,9.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,T/OA,6,19t,heated,acidified,NA,NA,NA,11.48,11.22,11.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,AMB,8,20t,ambient,ambient,NA,NA,NA,12.03,12.98,12.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,OA,5,21t,ambient,acidified,NA,NA,NA,8.57,8.31,8.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,T,7,22t,heated,ambient,NA,NA,NA,9.81,9.92,9.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,T/OA,6,23t,heated,acidified,NA,NA,NA,10.07,10.07,10.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-08,-13,OA,5,24t,ambient,acidified,NA,NA,NA,11.04,10.64,10.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,T,1,NA,heated,ambient,27.90,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,AMB,2,NA,ambient,ambient,28.00,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,OA,3,NA,ambient,acidified,28.00,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,T/OA,4,NA,heated,acidified,29.00,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,OA,5,NA,ambient,acidified,27.90,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,T/OA,6,NA,heated,acidified,28.50,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,T,7,NA,heated,ambient,28.00,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,AMB,8,NA,ambient,ambient,27.90,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,AMB,2,1t,ambient,ambient,27.80,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,T/OA,4,2t,heated,acidified,28.20,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,T,1,3t,heated,ambient,28.00,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,OA,3,4t,ambient,acidified,27.80,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,AMB,2,5t,ambient,ambient,27.80,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,OA,3,6t,ambient,acidified,27.90,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,T/OA,4,7t,heated,acidified,28.40,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,T,1,8t,heated,ambient,28.00,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,AMB,2,9t,ambient,ambient,27.80,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,T,1,10t,heated,ambient,28.00,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,T/OA,4,11t,heated,acidified,28.30,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,OA,3,12t,ambient,acidified,27.90,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,AMB,8,13t,ambient,ambient,27.80,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,T/OA,6,14t,heated,acidified,28.30,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,-11,AMB,8,15t,ambient,ambient,27.90,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
